Date,Open,High,Low,Close,Adj Close,Volume
2018-01-26,11394.5,11750,10840.5,11117,11117,981325170
2018-01-27,11117,11653,10230,11110,11110,1452834482
2018-01-28,11110,11631,10777.5,11398,11398,1009595524
2018-01-29,11398,11970,11350,11631.5,11631.5,752035913
2018-01-30,11631.5,11768,10865,11127,11127,922831552
2018-01-31,11127,11217.5,9616.5,9999,9999,1551256047
2018-02-01,9999,10332.5,9500,10132,10132,1160207807
2018-02-02,10132,10199,8476,9008,9008,1778962963
2018-02-03,9008,9054.5,7610,8807.5,8807.5,1969893239
2018-02-04,8807.5,9499,8105,9226.5,9226.5,1176826654
2018-02-05,9226.5,9395,7791,8151,8151,1436075356
2018-02-06,8151,8344.5,6543,6889.5,6889.5,2088881027
2018-02-07,6889.5,7930,5855,7674.5,7674.5,2383969711
2018-02-08,7674.5,8590,7189.5,7598.5,7598.5,1968819425
2018-02-09,7598.5,8655,7576,8232.5,8232.5,1711303991
2018-02-10,8232.5,8750,7692,8675.5,8675.5,1462168195
2018-02-11,8675.5,9084,8112,8548.5,8548.5,1536909710
2018-02-12,8548.5,8548.5,7830,8065,8065,1528310563
2018-02-13,8065,8999,8063,8905.5,8905.5,1606293489
2018-02-14,8905.5,8944,8331,8499.5,8499.5,1530738973
2018-02-15,8499.5,9515,8499.5,9462.5,9462.5,1672574959
2018-02-16,9462.5,10191,9336,10008,10008,2116132820
2018-02-17,10008,10304,9705,10185.5,10185.5,1750655042
2018-02-18,10185.5,11160,10013.5,11144,11144,2178101186
2018-02-19,11144,11292,10174,10402,10402,3006576838
2018-02-20,10402,11277,10300,11173,11173,2443193873
2018-02-21,11173,11771,11020,11220,11220,2733704794
2018-02-22,11220,11250,10251,10455,10455,3211633653
2018-02-23,10455,10905,9726,9831.5,9831.5,3217750552
2018-02-24,9831.5,10369,9581,10130.5,10130.5,2811472247
2018-02-25,10130.5,10523,9338.5,9689,9689,2780775740
2018-02-26,9689,9880,9289,9591,9591,2299980554
2018-02-27,9591,10450,9379.5,10316.5,10316.5,2500491670
2018-02-28,10316.5,10879.5,10150.5,10530,10530,2639763770
2018-03-01,10530,11070,10250,10319,10319,3137482715
2018-03-02,10319,11105,10230,10919.5,10919.5,3081991666
2018-03-03,10919.5,11198,10770,11030,11030,2963568811
2018-03-04,11030,11524.5,11022,11458,11458,2803508861
2018-03-05,11458,11538,11066,11490.5,11490.5,2634323574
2018-03-06,11490.5,11683,11330.5,11330.5,11330.5,2409753832
2018-03-07,11330.5,11391.5,10560,10730,10730,3980630223
