date,county,sum_sale_dollars,sum_sale_liters
2017-10-04T00:00:00.000,Dickinson,602.06,43.50
2014-04-14T00:00:00.000,Wright,1989.54,128.70
2014-09-11T00:00:00.000,Carroll,66814.80,4962.14
2019-10-01T00:00:00.000,BLACK HAWK,224898.21,13774.16
2016-05-31T00:00:00.000,Union,26951.28,1746.05
2016-02-25T00:00:00.000,Story,20248.84,1364.71
2015-03-19T00:00:00.000,Warren,8431.76,723.64
2018-06-28T00:00:00.000,CLAYTON,6.08,1.00
2012-11-17T00:00:00.000,Kossuth,7339.94,588.40
2014-09-18T00:00:00.000,Henry,1101.16,74.46
2018-03-16T00:00:00.000,MONTGOMERY,13947.41,1128.29
2017-04-12T00:00:00.000,POCAHONTAS,4947.64,371.99
2014-01-21T00:00:00.000,Story,16663.26,1249.65
2014-01-14T00:00:00.000,Dickinson,49357.64,4063.39
2012-05-02T00:00:00.000,Harrison,6205.02,498.40
2012-08-14T00:00:00.000,Pottawattamie,147550.85,12221.98
2012-07-10T00:00:00.000,Scott,131590.10,9517.07
2012-07-09T00:00:00.000,Clayton,7854.80,604.48
2018-06-15T00:00:00.000,RINGGOLD,5601.24,457.85
2019-04-29T00:00:00.000,GRUNDY,1608.08,142.90
2016-12-19T00:00:00.000,MAHASKA,2618.08,187.25
2016-04-19T00:00:00.000,Adams,1746.85,112.15
2018-01-05T00:00:00.000,BUCHANAN,1092.60,57.00
2013-04-09T00:00:00.000,Story,31325.21,2771.12
2016-11-07T00:00:00.000,WASHINGTON,26275.32,1716.83
2014-04-22T00:00:00.000,Pottawattamie,5115.56,348.60
2018-07-20T00:00:00.000,ADAIR,1662.72,168.00
2017-08-30T00:00:00.000,IOWA,7949.15,709.62
2017-12-11T00:00:00.000,MONONA,0.00,0.75
2017-09-08T00:00:00.000,TAYLOR,3128.37,218.45
2016-05-16T00:00:00.000,Cass,19448.63,1659.10
2019-01-18T00:00:00.000,JONES,12263.55,988.52
2019-11-19T00:00:00.000,DALLAS,4564.26,185.50
2018-04-12T00:00:00.000,WORTH,7621.23,630.37
2013-05-29T00:00:00.000,Bremer,25351.54,2111.35
2019-09-17T00:00:00.000,IDA,5514.78,366.02
2017-11-10T00:00:00.000,POLK,121883.35,7558.10
2020-01-07T00:00:00.000,PLYMOUTH,22131.48,1538.40
2014-01-27T00:00:00.000,Jefferson,21556.92,1449.83
2015-04-13T00:00:00.000,Buchanan,17740.48,1492.52
2015-03-18T00:00:00.000,Linn,61314.15,3846.99
2019-09-10T00:00:00.000,TAMA,16817.88,1212.40
2018-10-24T00:00:00.000,SCOTT,229126.93,14556.19
2016-09-22T00:00:00.000,BOONE,1957.45,154.75
2013-11-25T00:00:00.000,Poweshiek,2043.12,150.75
2013-01-08T00:00:00.000,Shelby,9612.93,906.95
2018-12-21T00:00:00.000,KEOKUK,2964.20,236.35
2013-01-23T00:00:00.000,Harrison,6184.05,495.81
2018-12-14T00:00:00.000,POLK,170457.01,10360.36
2016-01-26T00:00:00.000,Emmet,7969.92,700.18
2016-07-14T00:00:00.000,Boone,6347.04,441.43
2019-02-18T00:00:00.000,HENRY,14895.26,1061.96
2016-02-22T00:00:00.000,Delaware,11412.43,881.75
2014-04-23T00:00:00.000,Woodbury,128930.30,8924.40
2019-02-14T00:00:00.000,Boone,21528.79,2271.00
2015-09-02T00:00:00.000,Crawford,1712.32,118.50
2012-09-24T00:00:00.000,Lucas,4157.05,366.75
2015-09-08T00:00:00.000,Madison,14646.06,1073.74
2015-12-16T00:00:00.000,Woodbury,253853.20,15583.41
2019-12-20T00:00:00.000,JACKSON,19522.52,1448.52
2017-10-25T00:00:00.000,POLK,119289.07,6578.34
2017-04-20T00:00:00.000,CRAWFORD,27290.64,2585.88
